timestamp,code,name,yf_ticker,market_segment,data_source,last_price,ret_5m,volume_ratio,volatility_2h,rsi_14,ret_1d,market_cap,trailing_pe,price_to_book,roe,dividend_yield,news_sentiment,news_article_count
2026-03-09 11:25:00+09:00,8345,岩手銀行,8345.T,プライム,intraday_5m,6130.0,0.0016339869281045694,0.7559055118110237,0.003411311720060606,48.14814814814815,-0.08779761904761907,105661071360.0,12.865988,0.54947305,0.043390002,2.86,0.05,20.0
2026-03-09 11:30:00+09:00,8346,東邦銀行,8346.T,プライム,intraday_5m,608.0,0.0,0.07602339181286549,0.0032953548437978848,52.94117647058823,-0.0829562594268477,151931682816.0,16.612022,0.71610796,0.052059997,2.71,0.04,20.0
2026-03-09 11:30:00+09:00,8354,ふくおかフィナンシャルグループ,8354.T,プライム,intraday_5m,5782.0,0.00017298045320868205,0.3057324840764331,0.0023621469561722385,50.299401197604794,-0.0625810635538262,1092596400128.0,14.289951,1.0390396,,3.08,0.030000000000000006,20.0
2026-03-09 11:30:00+09:00,8358,スルガ銀行,8358.T,プライム,intraday_5m,1827.0,-0.000547045951859948,1.1450980392156862,0.0024186934288618948,44.26229508196722,-0.06690500510725228,311436083200.0,13.292107,1.0199513,0.08465999,2.25,0.030000000000000006,20.0
2026-03-09 11:30:00+09:00,8359,八十二長野銀行,8359.T,プライム,intraday_5m,1822.5,0.0,0.015599610009749755,0.0028472341462363647,49.557522123893804,-0.0703902065799541,828238069760.0,14.547414,0.7830017,0.061079998,2.3,0.030000000000000006,20.0
2026-03-09 11:30:00+09:00,8360,山梨中央銀行,8360.T,プライム,intraday_5m,4610.0,0.0,1.012987012987013,0.0041088660347690055,51.612903225806456,-0.09251968503937003,141266305024.0,15.75476,0.61515707,0.045289997,2.32,0.05,20.0
2026-03-09 11:30:00+09:00,8361,大垣共立銀行,8361.T,プライム,intraday_5m,5890.0,0.0,0.0,0.0036866728946463637,46.15384615384615,-0.08112324492979717,245225586688.0,13.552692,0.6695135,0.055170003,1.56,0.03157894736842106,19.0
2026-03-09 11:25:00+09:00,8362,福井銀行,8362.T,プライム,intraday_5m,3140.0,0.0015948963317384823,0.11764705882352941,0.0029635277697767507,57.692307692307686,-0.06824925816023741,74190503936.0,18.56121,0.49217722,0.0477,2.23,0.05,20.0
2026-03-09 11:20:00+09:00,8364,清水銀行,8364.T,プライム,intraday_5m,2553.0,0.0007840062720501084,0.17647058823529413,0.002820274383573922,63.15789473684211,-0.07700650759219085,28838133760.0,13.553833,0.36949193,0.03196,2.17,0.030000000000000006,20.0
2026-03-09 11:30:00+09:00,8366,滋賀銀行,8366.T,プライム,intraday_5m,7850.0,0.0,0.0851063829787234,0.0035812108926107067,47.99999999999999,-0.08079625292740045,363277189120.0,17.053724,0.7302681,0.04072,1.52,0.04,20.0
